cod;cidade;designacao;arquivo_origem;mes;ano;RCPJ;RCPN;IT;RI;RTD;Notas;Protesto;Emolumentos;Funarpem;Gratuitos;Total;gestor;cargo
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2024_09.pdf;9;2024;399.282;0.0;0;46.826.972,00;4.384.634,00;10.005.708,00;17.158.953,00;77.249.996,00;0.0;1.525.553,00;78.775.549,00;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2024_10.pdf;10;2024;201.338;0.0;0;59.412.904,00;822.929;16.078.136,00;14.788.669,00;89.543.419,00;0.0;1.760.557,00;91.303.976,00;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2024_11.pdf;11;2024;2.036;0.0;0;47.316.725,00;9.8395;12.361.039,00;22.634.785,00;81.903.203,00;0.0;1.596.896,00;83.500.099,00;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2024_12.pdf;12;2024;2.8504;0.0;0;44.021.471,00;1.960.188,00;10.793.653,00;25.341.158,00;8.082.649,00;0.0;157.502;8.240.151,00;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2025_01.pdf;1;2025;557.553;0.0;0;41.300.041,00;774.355;8.142.488,00;13.757.533,00;63.290.304,00;0.0;1.241.666,00;6.453.197,00;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2025_02.pdf;2;2025;274.325;0.0;0;57.220.619,00;1.116.946,00;12.889.736,00;13.228.326,00;83.106.076,00;0.0;1.623.876,00;84.729.952,00;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2025_03.pdf;3;2025;308.375;0.0;0;36.552.765,00;940.775;17.789.468,00;12.412.489,00;66.693.279,00;0.0;1.310.593,00;68.003.872,00;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2025_06.pdf;6;2025;315.889;0.0;0;80.905.589,00;5.459.492,00;2.335.849,00;2.176.927,00;1.292.528,34;0.0;2.555.896,00;1.318.087,30;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2025_07.pdf;7;2025;315.889;0.0;0;74.281.817,00;2.782.088,00;18.886.987,00;21.364.244,00;0;0.0;0.0;1.176.310,25;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2025_08.pdf;8;2025;599.203;0.0;0;86.378.658,00;1.093.368,00;22.542.431,00;15.483.368,00;0;0.0;0.0;1.260.970,28;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2025_09.pdf;9;2025;520.213;0.0;0;56.095.339,00;1.030.595,00;13.395.042,00;15.479.917,00;84.842.829,00;0.0;1.678.277,00;86.521.106,00;OSWALDO CIUFFO CICARINO;Titular
1441;ANGRA DOS REIS;01 OF DE JUSTICA;2025_10.pdf;10;2025;500.432;0.0;0;66.173.653,00;1.459.662,00;22.298.987,00;1.593.836,00;1.043.087,37;0.0;2.062.357,00;1.063.710,94;OSWALDO CIUFFO CICARINO;Titular
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2024_09.pdf;9;2024;0;0.0;0;441.886;0.0;6.209.149,00;556.656;11.988.424,00;0.0;229.171;12.217.595,00;MICHELLE MARQUES FERREIRA FONSECA;Responsável pelo Expediente
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2024_10.pdf;10;2024;0;0.0;0;840.321;0.0;4.923.172,00;6.893.043,00;1.241.732,00;0.0;239.216;12.656.536,00;MICHELLE MARQUES FERREIRA FONSECA;Responsável pelo Expediente
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2024_11.pdf;11;2024;0;0.0;0;0;0.0;7.863.362,00;5.173.705,00;12.789.545,00;0.0;247.522;13.037.067,00;MICHELLE MARQUES FERREIRA FONSECA;Responsável pelo Expediente
